ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,url
['CHUYÊN VIÊN WINDOWS (WINDOWS SPECIALIST) - TT. KỸ THUẬT HẠ TẦNG'],['Ngân hàng TMCP Sài Gòn Thương tín (Sacombank)'],['Thương lượng'],"['266-268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],"['Product, Fintech, Ngân Hàng, Finance']",['10.000-19.999 Nhân viên'],['Vietnam'],['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],['Fulltime'],"['Windows', 'Azure', 'MCSE']",[],https://topdev.vn/viec-lam/chuyen-vien-windows-windows-specialist-tt-ky-thuat-ha-tang-ngan-hang-tmcp-sai-gon-thuong-tin-sacombank-2034432?src=topdev_search&medium=searchresult
['QA/QC Engineer'],['ILA Vietnam'],['Thương lượng'],"['The Crest Residence, 15 Trần Bạch Đằng, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['Giáo dục'],['500-999 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['QA', 'QC', 'Tester']",['Vòng 1: Only 1 round with Software Manager'],https://topdev.vn/viec-lam/qa-qc-engineer-ila-vietnam-2034431?src=topdev_search&medium=searchresult
"['[Freelance] [12-20 USD/hour] - Fullstack Angular, Vue and Laravel']",['METAROOM'],['Thương lượng'],"['Remote in Vietnam, Remote']",['Đăng 3 ngày trước'],['Software'],['25-99 Nhân viên'],['European-Union'],['Từ 5 năm'],['Senior'],['Remote'],['Freelance'],"['Laravel', 'VueJS', 'Angular']","['Vòng 1: Telephone interview', 'Vòng 2: Live code']",https://topdev.vn/viec-lam/freelance-12-20-usd-hour-fullstack-angular-vue-and-laravel-metaroom-2034430?src=topdev_search&medium=searchresult
['Software Engineer (Java)'],['CÔNG TY CỔ PHẦN SYNODUS'],['Lên tới 35.000.000 VND'],"['Lê Văn Lương, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 3 ngày trước'],['Software'],['100-499 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Junior, Middle']",['In Office'],['Fulltime'],"['Java', 'Python', 'Java Spring Boot']","['Vòng 1: Trao đổi qua điện thoại', 'Vòng 2: Phỏng vấn', 'Vòng 3: Deal lương']",https://topdev.vn/viec-lam/software-engineer-java-cong-ty-co-phan-synodus-2034429?src=topdev_search&medium=searchresult
['[Da Nang] Bridge System Engineer (Japanese Speaking) - Kỹ sư cầu nối (Tiếng Nhật)'],['CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI ĐÀ NẴNG'],['Thương lượng'],"['243 Phan Đăng Lưu, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng']",['Đăng 3 ngày trước'],['Software'],['100-499 Nhân viên'],['Japan'],['Từ 1 năm'],"['Junior, Middle']",['In Office'],['Fulltime'],"['Japanese - N2', 'BrSE', 'Bridge SE']",[],https://topdev.vn/viec-lam/da-nang-bridge-system-engineer-japanese-speaking-ky-su-cau-noi-tieng-nhat-chi-nhanh-cong-ty-tnhh-pasona-tech-viet-nam-tai-da-nang-2034020?src=topdev_search&medium=searchresult
['Development Lead'],['ABHORIZON'],['Thương lượng'],"['VI Office Building , 75 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['Product'],['25-99 Nhân viên'],['Vietnam'],['Từ 3 năm'],['Trưởng Nhóm'],['In Office'],['Fulltime'],"['ERP', 'Technical Leader', 'SAP']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/development-lead-abhorizon-2034290?src=topdev_search&medium=searchresult
['Manual Tester/QC (Middle - Senior level)'],['EMESOFT'],['Thương lượng'],"['596 Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['Software'],['25-99 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['SQL', 'Tester', 'API', 'Manual Tester']",[],https://topdev.vn/viec-lam/manual-tester-qc-middle-senior-level-emesoft-2034257?src=topdev_search&medium=searchresult
"['[DI6] Mobile Developer (IOS, Android) – 4C001']",['Ngân hàng TMCP Hàng Hải Việt Nam (MSB)'],['1.000 USD to 2.000 USD'],"['TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 3 ngày trước'],"['Ngân Hàng, Tài Chính, Công nghệ thông tin']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Android', 'iOS']",[],https://topdev.vn/viec-lam/di6-mobile-developer-ios-android-4c001-ngan-hang-tmcp-hang-hai-viet-nam-msb-2034288?src=topdev_search&medium=searchresult
['[Khối Ngân hàng số] Solution Architect'],['Ngân hàng TMCP An Bình (ABBANK)'],['Thương lượng'],"['36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 3 ngày trước'],['Ngân Hàng'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 7 năm'],['Senior'],['In Office'],['Fulltime'],"['Java', 'Software Architect', 'Spring Boot', 'Solution Architect']",[],https://topdev.vn/viec-lam/khoi-ngan-hang-so-solution-architect-ngan-hang-tmcp-an-binh-abbank-2034281?src=topdev_search&medium=searchresult
['REACTJS/NODEJS- WEB- APPLICATION TRAINING PROGRAM (JWAT)'],"['CyberLogitec Vietnam Co., Ltd.']",['Thương lượng'],"['SCETPA Building, 19A Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['Phần Mềm'],['500-999 Nhân viên'],['South-Korea'],['Không yêu cầu'],['Intern'],['In Office'],['Fulltime'],"['SQL', 'NodeJS', 'ReactJS']","['Vòng 1: Entrance Test', 'Vòng 2: Interview with Technical Team', 'Vòng 3: Interview with HR (culture fit)']",https://topdev.vn/viec-lam/reactjs-nodejs-web-application-training-program-jwat-cyberlogitec-vietnam-co-ltd-2034289?src=topdev_search&medium=searchresult
['Software Engineer 2'],['Microsoft Vietnam'],['Thương lượng'],"['93 Nguyen Du, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['Software'],['Hơn 1000 Nhân viên'],['USA'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Java', 'Python', 'C/C++', 'C', 'Microsoft 365']",[],https://topdev.vn/viec-lam/software-engineer-2-microsoft-vietnam-2034259?src=topdev_search&medium=searchresult
"['Lập Trình Viên WebApp (WordPress, PHP, JavaScript)']",['The Mob Group'],['15.000.000 VND to 25.000.000 VND'],"['07 Phan Đình Phùng, Phường Tân Thành, Quận Tân Phú, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['EdTech'],['25-99 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['PHP', 'JavaScript', 'WordPress']","['Vòng 1: Phỏng vấn qua điện thoại.', 'Vòng 2: Phỏng vấn trực tiếp với Tech Lead.', 'Vòng 3: Phỏng vấn với BOD']",https://topdev.vn/viec-lam/lap-trinh-vien-webapp-wordpress-php-javascript-the-mob-group-2034291?src=topdev_search&medium=searchresult
['Senior IT Implementation Consultant'],['Laidon Group'],['Thương lượng'],"['Lầu 1, Tòa nhà Cao Minh, 324 Lê Văn Sỹ, Phường 02, Quận Tân Bình, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['B2B Services'],['25-99 Nhân viên'],"['United States, Vietnam']",['Từ 3 năm'],['Senior'],['In Office'],['Fulltime'],"['ERP', 'IT Consultant', 'ERP Consultant']","['Vòng 1: Interview directly with Team Lead.', 'Vòng 2: Interview with CEO (if any).']",https://topdev.vn/viec-lam/senior-it-implementation-consultant-laidon-group-2034358?src=topdev_search&medium=searchresult
